description,id,a1,a2,a3,a4,a5,a6,a7,a8,b1,b2,b3,b4,b5,b6
Standing,sta,18.2,0.83,0.00091,0.0125,1.4,,,,,,,,,
"Vasquez and Beggs (<30 API)",vablo,27.64,0.914328,11.172,,,,,,,,,,,
"Vasquez and Beggs (>30 API)",vabhi,56.18,0.84246,10.393,,,,,,,,,,,
Glaso,gla,1.7669,1.7447,0.30218,0.816,0.172,-0.989,,,,,,,,
"Al-Marhoun 1",alma,0.00538088,0.715082,-1.87784,3.14437,1.32657,,,,,,,,,
"Dokla and Osman",dao,8363.86,0.724047,-1.01049,0.107991,-0.952584,,,,,,,,,
"Petrosky and Farshad",paf,112.727,0.5774,0.8439,12.34,4.561E-05,1.3911,0.0007916,1.541,,,,,,
Lasater,las,379.3,350,725.32143,16.03333,0.09524,0.38418,1.20081,9.64868,,,,,,
"Omar and Todd",oat,,,,,,,,,1.4256,-0.2608,-0.4596,0.04481,0.236,-0.1077
Almehaideb,adb,-620.592,6.23087,1.38559,2.89868,,,,,,,,,,
"Macary and El-Batanoney",mae,204.257,0.51,4.7927,0.00077,0.0097,0.4003,,,,,,,,
"Kartoatmodjo and Schmidt (<30 API)",kaslo,0.05958,0.7972,13.1405,0.9986,,,,,,,,,,
"Kartoatmodjo and Schmidt (>30 API)",kashi,0.0315,0.7587,11.2895,0.9143,,,,,,,,,,
"Al-Shammasi (4 variables)",as4v,5.527215,-1.841408,0.783716,,,,,,,,,,,
